id,name,data_version,day_ago_created ,price,list_price,original_price,discount,discount_rate,rating_average,review_count,favourite_count,all_time_quantity_sold,inventory_status,inventory_type,has_ebook ,url_path,authors,seller_name;spid;price,breadcrumbs,number_of_page
195863576,Cuốn sách: Quán Tươi Cười Là Nơi Khách Đến,3300,301,78760,78760,78760,0,0,0.0,0,0,,available,backorder,False,cuon-sach-quan-tuoi-cuoi-la-noi-khach-den-p195863576.html?spid=195863577,,Times Books;195863577;78760 | Nhà Sách Trẻ Online;205696510;78460 | VBooks;230349153;79060,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Cuốn sách: Quán Tươi Cười Là Nơi Khách Đến,
174182634,Ai Cho Marketing Và Đổi Mới Sản Phẩm - Chọn Đúng Sản Phẩm - Chốt Đơn Hiệu Quả,3300,438,160550,169000,169000,8450,5,0.0,0,0,1.0,available,backorder,False,ai-cho-marketing-va-doi-moi-san-pham-chon-dung-san-pham-chot-don-hieu-qua-p174182634.html?spid=174182635,,Nhà sách Fahasa;174182635;160550 | info book;180590659;149000 | VBooks;191004825;138580 | HỆ THỐNG NHÀ SÁCH ABC;195947160;149000 | Nhà Sách Vĩnh Thụy;199503191;149000 | SÁCH ĐẠI NAM;248763925;169000 | FishingBook;253141223;152100,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Ai Cho Marketing Và Đổi Mới Sản Phẩm - Chọn Đúng Sản Phẩm - Chốt Đơn Hiệu Quả,
181665606,Truyền Thông Theo Phong Cách Win-Win,3300,397,122000,139000,139000,17000,12,0.0,0,0,,available,backorder,False,truyen-thong-theo-phong-cach-win-win-p181665606.html?spid=243248502,Phạm Sông Thu,HỆ THỐNG NHÀ SÁCH ABC;243248502;122000 | Tiệm sách Minh Hằng;229777834;110000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Truyền Thông Theo Phong Cách Win-Win,343
192950042,Livestream - Hướng Dẫn Chi Tiết Kiếm Tiền Từ Livestream,3300,325,164430,189000,189000,24570,13,0.0,0,0,,available,backorder,False,livestream-huong-dan-chi-tiet-kiem-tien-tu-livestream-p192950042.html?spid=192950043,Chen Nanhua,Nhà sách Fahasa;192950043;164430 | Nhà Sách Vĩnh Thụy;195772800;166000 | Bamboo Books;197525605;160650 | Tiệm sách Minh Hằng;257844913;150000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Livestream - Hướng Dẫn Chi Tiết Kiếm Tiền Từ Livestream,
178720491,HUMAN TO HUMAN MARKETING,3300,407,184000,209000,209000,25000,12,0.0,0,0,,available,backorder,False,human-to-human-marketing-p178720491.html?spid=197686116,,Nhà Sách Vĩnh Thụy;197686116;184000 | MHbooks;179175739;176000 | HỆ THỐNG NHÀ SÁCH ABC;254410831;184000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | HUMAN TO HUMAN MARKETING,
249822721,Điều Kỳ Diệu Của Lòng Hiếu Khách - Cẩm nang vô cùng chân thực và gần gũi để xây dựng và duy trì một nhà hàng thành công,3300,76,202000,229000,229000,27000,12,0.0,0,0,,available,backorder,False,dieu-ky-dieu-cua-long-hieu-khach-cam-nang-vo-cung-chan-thuc-va-gan-gui-de-xay-dung-va-duy-tri-mot-nha-hang-thanh-cong-p249822721.html?spid=253211407,,HỆ THỐNG NHÀ SÁCH ABC;253211407;202000 | Times Books;249822722;160000 | Nhà Sách Vĩnh Thụy;253388176;229000 | Nhà Sách Trẻ Online;262779716;159700 | Tiệm Sách Hoa Hồng;262779717;160300 | VBooks;262779723;160300,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Điều Kỳ Diệu Của Lòng Hiếu Khách - Cẩm nang vô cùng chân thực và gần gũi để xây dựng và duy trì một nhà hàng thành công,
117379436,"Combo 2 cuốn: Bút chì sắc, ý tưởng lớn, quảng cáo để đời + 60 giây...1 ý tưởng ( Bộ sách hay về marketing)",3300,678,253000,288000,288000,35000,12,0.0,0,0,,available,backorder,False,combo-2-cuon-but-chi-sac-y-tuong-lon-quang-cao-de-doi-60-giay-1-y-tuong-bo-sach-hay-ve-marketing-p117379436.html?spid=201844716,,Nhà Sách Vĩnh Thụy;201844716;253000 | HỆ THỐNG NHÀ SÁCH ABC;242718075;253000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Combo 2 cuốn: Bút chì sắc, ý tưởng lớn, quảng cáo để đời + 60 giây...1 ý tưởng ( Bộ sách hay về marketing)",
181771602,12 Tuyệt Kỹ Bán Hàng,3300,396,96000,109000,109000,13000,12,0.0,0,0,,available,backorder,False,12-tuyet-ky-ban-hang-p181771602.html?spid=203260290,"Brian Tracy, Michael Tracy",HỆ THỐNG NHÀ SÁCH ABC;203260290;96000 | info book;242619481;98000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | 12 Tuyệt Kỹ Bán Hàng,390
205695165,TikTok Tất Tần Tật - 138 Bí Kíp Giúp Bạn Phá Đảo Thế Giới Ảo,3300,217,139000,158000,158000,19000,12,0.0,0,0,,available,backorder,False,tiktok-tat-tan-tat-138-bi-kip-giup-ban-pha-dao-the-gioi-ao-p205695165.html?spid=253089328,Vương Phi Đồng,HỆ THỐNG NHÀ SÁCH ABC;253089328;139000 | Nhà Sách Phương Nam;205695166;158000 | Bamboo Books;215054869;142200 | info book;230082385;158000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | TikTok Tất Tần Tật - 138 Bí Kíp Giúp Bạn Phá Đảo Thế Giới Ảo,376
69542669,Combo Thuyết Phục Thế Giới: Storytelling – Nghệ Thuật Thuyết Trình Bằng Câu Chuyện + Marketing Du Kích Trong 30 Ngày,3300,983,324000,368000,368000,44000,12,0.0,0,0,,available,backorder,False,combo-thuyet-phuc-the-gioi-storytelling-nghe-thuat-thuyet-trinh-bang-cau-chuyen-marketing-du-kich-trong-30-ngay-p69542669.html?spid=193007463,,HỆ THỐNG NHÀ SÁCH ABC;193007463;324000 | Times Books;71140031;386100 | Nhà Sách Lifebooks;71175650;368000 | info book;118499200;324000 | VBooks;161462943;386400 | Zing Books;200875306;368000 | Nhà Sách Trẻ Online;262061765;385800 | Tiệm Sách Hoa Hồng;262061766;386400,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Combo Thuyết Phục Thế Giới: Storytelling – Nghệ Thuật Thuyết Trình Bằng Câu Chuyện + Marketing Du Kích Trong 30 Ngày,
72025577,Hộp Sách (Gồm 3 Cuốn) Marketing Thực Chiến: Marketing Trên 1 Trang Giấy + Marketing Thực Chiến - Từ Chiến Lược Đến Thực Thi + Marketing Điểm Bán Tiếp Thị Bán Lẻ Trong Thời Đại 4.0,3300,963,343161,343161,343161,0,0,0.0,0,0,,available,backorder,False,hop-sach-gom-3-cuon-marketing-thuc-chien-marketing-tren-1-trang-giay-marketing-thuc-chien-tu-chien-luoc-den-thuc-thi-marketing-diem-ban-tiep-thi-ban-le-trong-thoi-dai-4-0-p72025577.html?spid=72302109,,Tiệm Sách Hoa Hồng;72302109;343161,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Hộp Sách (Gồm 3 Cuốn) Marketing Thực Chiến: Marketing Trên 1 Trang Giấy + Marketing Thực Chiến - Từ Chiến Lược Đến Thực Thi + Marketing Điểm Bán Tiếp Thị Bán Lẻ Trong Thời Đại 4.0,
249610411,Lời Tự Thú Của Một Bậc Thầy Quảng Cáo (*** Sách Bản Quyền ***),3300,79,81610,81610,81610,0,0,0.0,0,0,,available,backorder,False,loi-tu-thu-cua-mot-bac-thay-quang-cao-sach-ban-quyen-p249610411.html?spid=261973977,,Nhà Sách Trẻ Online;261973977;81610 | VBooks;249610412;82110 | Times Books;261973978;81910 | Tiệm Sách Hoa Hồng;261973979;82110,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Lời Tự Thú Của Một Bậc Thầy Quảng Cáo (*** Sách Bản Quyền ***),
43342168,30 Ngày Giải Mã Chiến Lược Kinh Doanh Thành Công,3300,1299,103750,125000,125000,21250,17,0.0,0,0,6.0,available,backorder,False,30-ngay-giai-ma-chien-luoc-kinh-doanh-thanh-cong-p43342168.html?spid=44172710,Gail Z.Martin,Nhà sách Fahasa;44172710;103750 | Minhhabooks;48099715;99000 | Big Books;51374409;100000 | MHbooks;88800637;109000 | Nhà sách PLV;243258769;125000 | Nhà sách Miền Đông;245774098;125000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | 30 Ngày Giải Mã Chiến Lược Kinh Doanh Thành Công,304
99056535,"Sách - Trải nghiệm khách hàng - Tiên phong công nghệ, trải nghiệm dịch vụ",3300,736,118150,139000,139000,20850,15,0.0,0,0,,available,backorder,False,sach-trai-nghiem-khach-hang-tien-phong-cong-nghe-trai-nghiem-dich-vu-p99056535.html?spid=262707375,,Bamboo Books;262707375;118150,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Sách - Trải nghiệm khách hàng - Tiên phong công nghệ, trải nghiệm dịch vụ",
263046625,Mười sai lầm chết người trong tiếp thị - Các dấu hiệu và giải pháp (Philip Kotler),3300,7,55000,55000,55000,0,0,0.0,0,0,,available,backorder,False,muoi-sai-lam-chet-nguoi-trong-tiep-thi-cac-dau-hieu-va-giai-phap-philip-kotler-p263046625.html?spid=263046626, Philip Kotler,Đông Tây;263046626;55000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Mười sai lầm chết người trong tiếp thị - Các dấu hiệu và giải pháp (Philip Kotler),168
249226954,Điều kỳ diệu của lòng hiếu khách,3300,82,160000,229000,229000,69000,30,0.0,0,0,1.0,available,backorder,False,dieu-ky-dieu-cua-long-hieu-khach-p249226954.html?spid=252794283,Danny Meyer,Alpha Books Official;252794283;160000 | Trạm đọc;249226955;183200 | Times Books;249822562;160000 | Omega Plus Books;252801059;183000 | HỆ THỐNG NHÀ SÁCH ABC;253211356;202000 | Nhà Sách Vĩnh Thụy;253388138;229000 | Bamboo Books;253467985;183200 | nha sach nguyet linh;260985149;217550 | Nhà Sách Trẻ Online;262779638;159700 | Tiệm Sách Hoa Hồng;262779639;160300 | VBooks;262779642;160300,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách Marketing - Bán hàng  | Điều kỳ diệu của lòng hiếu khách,344
