id,name,data_version,day_ago_created ,price,list_price,original_price,discount,discount_rate,rating_average,review_count,favourite_count,all_time_quantity_sold,inventory_status,inventory_type,has_ebook ,url_path,authors,seller_name;spid;price,breadcrumbs,number_of_page
75639692,Đầu Tư Thiên Thần - Hướng Dẫn Tìm Kiếm Và Đầu Tư Sinh Lời Từ Các Starup,3300,892,154160,188000,188000,33840,18,0.0,0,0,1.0,available,backorder,False,dau-tu-thien-than-huong-dan-tim-kiem-va-dau-tu-sinh-loi-tu-cac-starup-p75639692.html?spid=100285102,David S.Rose,Nhà sách Fahasa;100285102;154160 | The King of Books;76395302;122200 | tientien1912;79267365;135360 | MHbooks;88799121;160000 | SusuFamily;156189413;117000 | BizbooksJSC;164092409;122200 | MiNaBooks;169545859;102000 | Nhà Sách Vĩnh Thụy;173698257;165000 | Nicebooks;174503089;112800 | info book;173820609;165000 | Sách TKBooks ;177919155;122200 | Tiệm sách Minh Hằng;190190647;150000 | HỆ THỐNG NHÀ SÁCH ABC;202716437;165000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Đầu Tư Thiên Thần - Hướng Dẫn Tìm Kiếm Và Đầu Tư Sinh Lời Từ Các Starup",260
36330517,Combo Cẩm Nang Vàng Cho Nhà Lãnh Đạo: Lãnh Đạo Bằng Sức Mạnh Trí Tuệ Cảm Xúc + Dám Nghĩ Lớn (Giải Pháp Để Trở Thành Nhà Lãnh Đạo Hoàn Hảo - Tặng Kèm Bookmark Green Life),3300,1343,220511,220511,220511,0,0,0.0,0,0,16.0,available,backorder,False,combo-cam-nang-vang-cho-nha-lanh-dao-lanh-dao-bang-suc-manh-tri-tue-cam-xuc-dam-nghi-lon-giai-phap-de-tro-thanh-nha-lanh-dao-hoan-hao-tang-kem-bookmark-green-life-p36330517.html?spid=36330518,Nhiều Tác Giả,AHABOOKS;36330518;220511 | Phương Đông Books;55328668;250500 | Tiệm Sách Hoa Hồng;72752245;215040 | Nhà Sách Vĩnh Thụy;76085356;245000 | VBooks;158715321;215040 | Bamboo Books;197498282;234600,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Combo Cẩm Nang Vàng Cho Nhà Lãnh Đạo: Lãnh Đạo Bằng Sức Mạnh Trí Tuệ Cảm Xúc + Dám Nghĩ Lớn (Giải Pháp Để Trở Thành Nhà Lãnh Đạo Hoàn Hảo - Tặng Kèm Bookmark Green Life)",
459313,Thành Công Hôm Nay Chưa Chắc Thành Đạt Ngày Mai,3300,2305,109000,109000,109000,0,0,5.0,1,0,1.0,available,backorder,False,thanh-cong-hom-nay-chua-chac-thanh-dat-ngay-mai-p459313.html?spid=208286162,Marshall Goldsmith & Mark Reiter,Hiệu Sách Tự Do;208286162;109000 | TYMBooks;194390875;123200 | Bamboo Books;211309471;126000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Thành Công Hôm Nay Chưa Chắc Thành Đạt Ngày Mai",406
192883233,The Leadership Lab – Bí quyết lãnh đạo trong kỷ nguyên số,3300,326,116220,149000,149000,32780,22,5.0,1,0,5.0,available,backorder,False,the-leadership-lab-bi-quyet-lanh-dao-trong-ky-nguyen-so-p192883233.html?spid=192883234,,THAIHABOOKS;192883234;116220 | Thu Minh Books;193007521;149000 | Tazano Official Store;195470798;117000 | Times Books;195548881;114430 | Tiệm Sách Hoa Hồng;195541330;114730 | Nhà Sách Trẻ Online;195549439;114130 | info book;195822469;131000 | VBooks;195841267;114730 | HỆ THỐNG NHÀ SÁCH ABC;196028231;131000 | Nhà Sách Vĩnh Thụy;209600005;131000 | MHbooks;252125970;118000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | The Leadership Lab – Bí quyết lãnh đạo trong kỷ nguyên số",384
195854401,Lãnh Đạo Theo Nguyên Tắc ( Tặng sổ tay xương rồng ),3300,300,108000,135000,135000,27000,20,0.0,0,0,3.0,available,backorder,False,lanh-dao-theo-nguyen-tac-tang-so-tay-xuong-rong-p195854401.html?spid=195854402,Stephen R. Covey,NHBook;195854402;108000 | Bamboo Books;257915021;121500,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Lãnh Đạo Theo Nguyên Tắc ( Tặng sổ tay xương rồng )",432
72001052,Lãnh Đạo Bản Thân,3300,963,103200,129000,129000,25800,20,5.0,2,0,27.0,available,backorder,False,lanh-dao-ban-than-p72001052.html?spid=72314518,Andrew Bryant | Ana Lucia Kazan,Nhà sách Fahasa;72314518;103200 | Sống Official;72332078;90300 | AHABOOKS;72562672;109500 | Omega Plus Books;73775511;90300 | Nhà Sách Lifebooks;88935553;129000 | ETS Books;88950142;90300 | Alpha Books Official;89920783;90000 | Bamboo Books;186747772;103200 | HỆ THỐNG NHÀ SÁCH ABC;195516170;114000 | VBooks;249596482;89010,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Lãnh Đạo Bản Thân",264
82885817,Combo Lãnh Đạo Giản Đơn - Leading Simple+QUẢN LÍ SẾP OK THÔI,3300,825,125700,125700,125700,0,0,0.0,0,0,1.0,available,backorder,False,combo-lanh-dao-gian-don-leading-simple-quan-li-sep-ok-thoi-p82885817.html?spid=160392644,,Times Books;160392644;125700 | Minhhabooks;82885818;127000 | MHbooks;86877357;136000 | AHABOOKS;91793157;126500,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Combo Lãnh Đạo Giản Đơn - Leading Simple+QUẢN LÍ SẾP OK THÔI",
120183264,Sách - Hỏi Đáp Về Lãnh Đạo,3300,659,48000,55000,55000,7000,13,0.0,0,0,9.0,available,backorder,False,sach-hoi-dap-ve-lanh-dao-p120183264.html?spid=122395748,,info book;122395748;48000 | Nhà Sách Vĩnh Thụy;122394527;48000 | HỆ THỐNG NHÀ SÁCH ABC;242730789;48000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Sách - Hỏi Đáp Về Lãnh Đạo",
1651907,Trí Tuệ Lãnh Đạo 1 (Bộ 3 Cuốn),3300,1922,396000,495000,495000,99000,20,5.0,2,0,7.0,available,backorder,False,tri-tue-lanh-dao-1-bo-3-cuon-p1651907.html?spid=20487921,Thường Vạn Lý,Nhà sách Fahasa;20487921;396000 | VanLangBooks;1652213;405900 | Nhà Sách Thành An;133008133;490000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Trí Tuệ Lãnh Đạo 1 (Bộ 3 Cuốn)",
173135227,Tinh Hoa Lãnh Đạo,3300,446,127200,159000,159000,31800,20,0.0,0,0,,available,backorder,False,tinh-hoa-lanh-dao-p173135227.html?spid=197518916,Leadership Gold,Bamboo Books;197518916;127200 | HỆ THỐNG NHÀ SÁCH ABC;192782473;140000 | info book;194865778;140000 | Trạm đọc;198901666;111000 | Nhà Sách Vĩnh Thụy;216517523;140000 | Nhà sách PLV;225940790;149000 | Nhà Sách Trẻ Online;261977776;110064 | Times Books;261977777;110364 | Tiệm Sách Hoa Hồng;261977778;110664,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách quản trị, lãnh đạo | Tinh Hoa Lãnh Đạo",364
